Airport Code,Companyia aèria,Destinació,Estat,Info,Porta,Sortida,Terminal,Vol
LGG,United Airlines,Phoenix (PHX),previstretardat,,C26,16:0516:27,1,UA511
LGG,Aeromexico,Ciutat de Mèxic (MEX),previstretardat,,,16:0616:32,5,AM687
LGG,United AirlinesAir CanadaLufthansa,Fort Myers (RSW),previst,,B4,16:07,1,UA 2605AC 5488LH 9347
LGG,American Airlines,Minneapolis (MSP),previst,,L6A,16:08,3,AA4303
LGG,United Airlines,Fairbanks (FAI),previst,,B12,16:09,1,UA400
LGG,United Airlines,Seattle (SEA),previst,,B21,16:10,1,UA2278
LGG,United AirlinesAir CanadaLufthansaANAAustrianBrussels Airlines,Portland (PDX),previstretardat,,C29,16:1316:35,1,UA 1634AC 4855LH 7469NH 7603OS 7708SN 9001
LGG,United Airlines,Atenes (ATH),previstretardat,,C10,16:1516:34,1,UA422
LGG,United Airlines,Akron/Canton (CAK),previst,,F7,16:15,2,UA5734
LGG,United Airlines,Des Moines (DSM),previstretardat,,B23,16:1516:39,1,UA5588
LGG,United AirlinesAir New ZealandAir CanadaANA,Las Vegas (LAS),previstretardat,,B14,16:1516:37,1,UA 1859NZ 2844AC 3804NH 7155
LGG,Frontier Airlines,Orlando (MCO),previst,,,16:15,5,F93044
LGG,United Airlines,San Diego (SAN),previstretardat,,B10,16:1516:37,1,UA2331
LGG,KLM,Amsterdam (AMS),previstretardat,,,16:2016:30,5,KL612
LGG,United Airlines,Boston (BOS),previst,,E10,16:20,2,UA1677
LGG,United Airlines,Wichita (ICT),previstretardat,,F25,16:2016:44,2,UA4564
LGG,United Airlines,Oklahoma City (OKC),previstretardat,,E6,16:2016:44,2,UA5359
LGG,United Airlines,Sacramento (SMF),previstretardat,,C24,16:2016:42,1,UA2658
LGG,Austrian,Viena (VIE),previst,,,16:20,5,OS66
LGG,American Airlines,Des Moines (DSM),previstretardat,,G19A,16:2216:43,3,AA3847
LGG,Delta Air Lines,Atlanta (ATL),previstretardat,,M6,16:2516:54,5,DL1477
LGG,United AirlinesAir CanadaVirgin AustraliaAir New Zealand,Washington (IAD),previst,,,16:25,1,UA 587AC 5366VA 8097NZ 9309
LGG,United Airlines,Lincoln (LNK),previst,,F5,16:25,2,UA5915
LGG,Atlas Air,Stuttgart (STR),previst,,,16:25,,5Y7482
LGG,American Airlines,Rochester (RST),previst,,G14A,16:26,3,AA4947
LGG,American Airlines,Pittsburgh (PIT),previstretardat,,G16,16:2916:50,3,AA3707
LGG,Iberia,Madrid (MAD),previstretardat,,,16:3016:50,3,IB342
LGG,United Airlines,San Francisco (SFO),previstretardat,,C20,16:3016:49,1,UA1815
LGG,Delta Air Lines,Salt Lake City (SLC),previstretardat,,M8,16:3016:45,5,DL2377
LGG,American Airlines,Syracuse (SYR),previstretardat,,G14A,16:3216:52,3,AA4091
LGG,American Airlines,Cleveland (CLE),previst,,G11,16:34,3,AA4907
LGG,Spirit Airlines,Orlando (MCO),previst,,G10,16:35,2,NK2189
LGG,American Airlines,Wichita (ICT),previst,,K2,16:38,3,AA6234
LGG,American Airlines,Oklahoma City (OKC),previstretardat,,G17,16:3816:58,3,AA3920
LGG,American Airlines,Filadèlfia (PHL),previstretardat,,L11,16:4017:01,3,AA2727
LGG,United Airlines,Decatur (DEC),previst,,F22,16:42,2,UA5067
LGG,American Airlines,Nova York (JFK),previstretardat,,H12,16:4417:05,3,AA696
LGG,American Airlines,Knoxville (TYS),previstretardat,,G21,16:4416:53,3,AA5732
LGG,American Airlines,Cedar Rapids (CID),previstretardat,,H1A,16:4516:55,3,AA4787
LGG,American Airlines,Dallas (DFW),previst,,H16,16:45,3,AA2124
LGG,United Airlines,Tulsa (TUL),previstretardat,,F15,16:4517:09,2,UA4394
LGG,American Airlines,Columbus (CMH),previstretardat,,G19,16:4617:06,3,AA3533
LGG,American Airlines,Indianàpolis (IND),previst,,G7,16:46,3,AA4221
LGG,American Airlines,Green Bay (GRB),previst,,L2C,16:48,3,AA3888
LGG,American Airlines,Lansing (LAN),previstretardat,,L21,16:4917:09,3,AA3526
LGG,American Airlines,Atenes (ATH),previstretardat,,K9,16:5017:13,3,AA160
LGG,American Airlines,Miami (MIA),previstretardat,,K5,16:5017:13,3,AA2323
LGG,American Airlines,Milwaukee (MKE),previst,,L10B,16:50,3,AA4926
LGG,American Airlines,San Francisco (SFO),previstretardat,,L7,16:5117:12,3,AA2732
LGG,American Airlines,Nova York (LGA),previstretardat,,H8,16:5517:16,3,AA2088
LGG,British Airways,Londres (LHR),previstretardat,,,16:5517:21,3,BA294
LGG,American Airlines,San Diego (SAN),previstretardat,,K18,16:5517:17,3,AA1543
LGG,American Airlines,Springfield (SPI),previstretardat,,H3A,16:5517:15,3,AA3576
LGG,American Airlines,Madison (MSN),previst,,G13,16:59,3,AA3953
BRU,VistaJet,Preveza (PVK),aterrat,,,15:00,,
BRU,Ryanair,Gènova (GOA),aterrat,,3,15:20,,FR5026
BRU,LufthansaAlitalia,Munic (MUC),aterrat,,12,15:20,,LH 1921AZ 7284
BRU,Ryanair,Budapest (BUD),aterrat,,3,15:25,,FR6279
