"hora_original","companyia_reduida","airport_type","distancia_vol_km","elevation_ft","country_climate_risk_exposure","y_retard"
21:00:00,"Altres","medium_airport",-0.130231189483649,-0.536442261475294,-0.262082374011454,"FALSE"
21:40:00,"Ryanair","medium_airport",-0.602221283203845,-0.536442261475294,-0.262082374011454,"FALSE"
23:05:00,"Altres","medium_airport",-0.95196526513704,-0.536442261475294,-0.262082374011454,"FALSE"
23:00:00,"Altres","medium_airport",-0.733433500807163,-0.536442261475294,-0.262082374011454,"TRUE"
20:00:00,"Altres","medium_airport",-0.543254288218323,-0.536442261475294,-0.262082374011454,"FALSE"
06:00:00,"Altres","medium_airport",0.195281742570395,-0.536442261475294,-0.262082374011454,"TRUE"
06:05:00,"Ryanair","medium_airport",0.0698330960125312,-0.536442261475294,-0.262082374011454,"TRUE"
20:15:00,"Altres","medium_airport",0.296128428305488,-0.536442261475294,-0.262082374011454,"FALSE"
23:00:00,"Altres","medium_airport",-0.65546996844962,-0.536442261475294,-0.262082374011454,"TRUE"
20:40:00,"Altres","medium_airport",-0.46791649575201,-0.536442261475294,-0.262082374011454,"FALSE"
21:20:00,"Altres","medium_airport",-0.660419373785191,-0.536442261475294,-0.262082374011454,"FALSE"
20:45:00,"Altres","medium_airport",1.92413510885149,-0.536442261475294,-0.262082374011454,"TRUE"
22:50:00,"Altres","medium_airport",-0.700342231560404,-0.536442261475294,-0.262082374011454,"FALSE"
21:20:00,"Altres","medium_airport",-0.733433500807163,-0.536442261475294,-0.262082374011454,"FALSE"
06:00:00,"Altres","medium_airport",-0.26901938966314,-0.536442261475294,-0.262082374011454,"FALSE"
23:00:00,"Altres","medium_airport",-0.829345590056168,-0.536442261475294,-0.262082374011454,"TRUE"
22:55:00,"Altres","medium_airport",-0.557585305888954,-0.536442261475294,-0.262082374011454,"TRUE"
06:05:00,"Altres","medium_airport",-0.524014856461309,-0.536442261475294,-0.262082374011454,"TRUE"
22:35:00,"Altres","medium_airport",-0.0741717900809378,-0.536442261475294,-0.262082374011454,"TRUE"
21:55:00,"Altres","medium_airport",0.300239872799502,-0.536442261475294,-0.262082374011454,"TRUE"
01:20:00,"Altres","medium_airport",0.324405177997314,-0.536442261475294,-0.262082374011454,"FALSE"
00:55:00,"Altres","medium_airport",0.310476124562061,-0.536442261475294,-0.262082374011454,"TRUE"
21:25:00,"Altres","medium_airport",-0.515145356414221,-0.536442261475294,-0.262082374011454,"FALSE"
21:20:00,"Altres","medium_airport",-0.400881015487604,-0.536442261475294,-0.262082374011454,"FALSE"
20:10:00,"Altres","medium_airport",-0.585661995505588,-0.536442261475294,-0.262082374011454,"FALSE"
06:00:00,"Altres","medium_airport",-0.697180407303481,-0.536442261475294,-0.262082374011454,"FALSE"
23:05:00,"Altres","medium_airport",-0.924371764507777,-0.536442261475294,-0.262082374011454,"FALSE"
20:15:00,"Ryanair","medium_airport",-0.556473884379249,-0.536442261475294,-0.262082374011454,"FALSE"
06:05:00,"Altres","medium_airport",-0.504240880499283,-0.536442261475294,-0.262082374011454,"TRUE"
23:35:00,"Altres","medium_airport",0.66282560579813,-0.536442261475294,-0.262082374011454,"TRUE"
06:00:00,"Altres","medium_airport",-0.0201239994151057,-0.536442261475294,-0.262082374011454,"FALSE"
23:05:00,"Altres","medium_airport",-0.846125955491701,-0.536442261475294,-0.262082374011454,"TRUE"
20:20:00,"Altres","medium_airport",0.247030103046056,-0.536442261475294,-0.262082374011454,"FALSE"
23:35:00,"Altres","medium_airport",0.66282560579813,-0.536442261475294,-0.262082374011454,"FALSE"
20:35:00,"Altres","medium_airport",0.0812444065379264,-0.536442261475294,-0.262082374011454,"FALSE"
23:05:00,"Altres","medium_airport",-0.923287810878098,-0.536442261475294,-0.262082374011454,"FALSE"
06:05:00,"Altres","medium_airport",-0.616546711718286,-0.536442261475294,-0.262082374011454,"TRUE"
20:00:00,"Altres","medium_airport",-0.46791649575201,-0.536442261475294,-0.262082374011454,"FALSE"
21:15:00,"Altres","medium_airport",-0.249664548007439,-0.536442261475294,-0.262082374011454,"FALSE"
18:40:00,"Altres","medium_airport",-0.168684288311882,-0.406255962242484,-0.290672758876677,"FALSE"
20:40:00,"Altres","medium_airport",-0.516354546015081,-0.479287300836499,-0.262082374011454,"FALSE"
21:40:00,"Ryanair","medium_airport",-0.579445129689908,-0.479287300836499,-0.262082374011454,"FALSE"
21:00:00,"Altres","medium_airport",-0.176296686344792,-0.479287300836499,-0.262082374011454,"FALSE"
06:05:00,"Altres","medium_airport",-0.56924024208441,-0.479287300836499,-0.262082374011454,"TRUE"
23:00:00,"Altres","medium_airport",-0.724065855173399,-0.479287300836499,-0.262082374011454,"TRUE"
06:00:00,"Altres","medium_airport",-0.0530165994275099,-0.479287300836499,-0.262082374011454,"FALSE"
06:05:00,"Altres","medium_airport",-0.655072754014581,-0.479287300836499,-0.262082374011454,"TRUE"
23:05:00,"Altres","medium_airport",-0.912182016171595,-0.479287300836499,-0.262082374011454,"FALSE"
20:10:00,"Altres","medium_airport",-0.602684238164982,-0.479287300836499,-0.262082374011454,"FALSE"
23:00:00,"Altres","medium_airport",-0.789786746111712,-0.479287300836499,-0.262082374011454,"TRUE"
21:20:00,"Altres","medium_airport",-0.684884463086988,-0.479287300836499,-0.262082374011454,"FALSE"
20:45:00,"Altres","medium_airport",1.89997965918338,-0.479287300836499,-0.262082374011454,"TRUE"
22:55:00,"Altres","medium_airport",-0.559769701341518,-0.479287300836499,-0.262082374011454,"TRUE"
